seed,patient,direction,epoch,image,metric,performance
0,55,all,0,mean,C,0.36170023476135876
0,55,all,0,mean,CNR,5.4391338926793384
0,55,all,0,reconst,C,-0.047225579619407654
0,55,all,0,reconst,CNR,-3.248095581088576
0,55,all,0,superres,C,-0.047225579619407654
0,55,all,0,superres,CNR,-3.248095581088576
0,55,all,0,NLM,C,-0.01519002579152584
0,55,all,0,NLM,CNR,-3.801815680792467
0,55,all,50,mean,C,0.36170023476135876
0,55,all,50,mean,CNR,5.4391338926793384
0,55,all,50,reconst,C,-0.0007325485348701477
0,55,all,50,reconst,CNR,-3.2319081421337477
0,55,all,50,superres,C,-0.0007325485348701477
0,55,all,50,superres,CNR,-3.2319081421337477
0,55,all,50,NLM,C,-0.0002906600129790604
0,55,all,50,NLM,CNR,-13.234379876244189
0,55,all,100,mean,C,0.36170023476135876
0,55,all,100,mean,CNR,5.4391338926793384
0,55,all,100,reconst,C,0.04412904381752014
0,55,all,100,reconst,CNR,2.084766645485595
0,55,all,100,superres,C,0.04412904381752014
0,55,all,100,superres,CNR,2.084766645485595
0,55,all,100,NLM,C,0.030385790392756462
0,55,all,100,NLM,CNR,7.559394806876931
0,55,all,150,mean,C,0.36170023476135876
0,55,all,150,mean,CNR,5.4391338926793384
0,55,all,150,reconst,C,0.2938465476036072
0,55,all,150,reconst,CNR,19.349032254423477
0,55,all,150,superres,C,0.2938465476036072
0,55,all,150,superres,CNR,19.349032254423477
0,55,all,150,NLM,C,0.26129576563835144
0,55,all,150,NLM,CNR,116.09873239094857
0,55,all,200,mean,C,0.36170023476135876
0,55,all,200,mean,CNR,5.4391338926793384
0,55,all,200,reconst,C,0.3979027569293976
0,55,all,200,reconst,CNR,11.60579261564843
0,55,all,200,superres,C,0.3979027569293976
0,55,all,200,superres,CNR,11.60579261564843
0,55,all,200,NLM,C,0.3765684962272644
0,55,all,200,NLM,CNR,12.954835897598993
0,55,all,250,mean,C,0.36170023476135876
0,55,all,250,mean,CNR,5.4391338926793384
0,55,all,250,reconst,C,0.409883052110672
0,55,all,250,reconst,CNR,8.900868153492498
0,55,all,250,superres,C,0.4038848578929901
0,55,all,250,superres,CNR,10.420864774963007
0,55,all,250,NLM,C,0.39641448855400085
0,55,all,250,NLM,CNR,10.695265227727676
0,55,all,300,mean,C,0.36170023476135876
0,55,all,300,mean,CNR,5.4391338926793384
0,55,all,300,reconst,C,0.36185571551322937
0,55,all,300,reconst,CNR,4.7456847558467
0,55,all,300,superres,C,0.39063403010368347
0,55,all,300,superres,CNR,7.837230807962203
0,55,all,300,NLM,C,0.375301331281662
0,55,all,300,NLM,CNR,8.379642900799949
0,55,all,350,mean,C,0.36170023476135876
0,55,all,350,mean,CNR,5.4391338926793384
0,55,all,350,reconst,C,0.381801038980484
0,55,all,350,reconst,CNR,7.668649267433891
0,55,all,350,superres,C,0.388393759727478
0,55,all,350,superres,CNR,7.978378635599233
0,55,all,350,NLM,C,0.3751881718635559
0,55,all,350,NLM,CNR,8.08116553215167
0,55,all,400,mean,C,0.36170023476135876
0,55,all,400,mean,CNR,5.4391338926793384
0,55,all,400,reconst,C,0.3606348931789398
0,55,all,400,reconst,CNR,5.126470518018852
0,55,all,400,superres,C,0.3831678628921509
0,55,all,400,superres,CNR,7.290285074775695
0,55,all,400,NLM,C,0.3666281998157501
0,55,all,400,NLM,CNR,7.5571522526365555
0,55,all,450,mean,C,0.36170023476135876
0,55,all,450,mean,CNR,5.4391338926793384
0,55,all,450,reconst,C,0.3691113591194153
0,55,all,450,reconst,CNR,5.229324813200352
0,55,all,450,superres,C,0.38093602657318115
0,55,all,450,superres,CNR,6.9353147873094345
0,55,all,450,NLM,C,0.3613584041595459
0,55,all,450,NLM,CNR,7.205214394855714
0,55,all,500,mean,C,0.36170023476135876
0,55,all,500,mean,CNR,5.4391338926793384
0,55,all,500,reconst,C,0.3729073405265808
0,55,all,500,reconst,CNR,5.252678312231072
0,55,all,500,superres,C,0.37983232736587524
0,55,all,500,superres,CNR,6.682259297935252
0,55,all,500,NLM,C,0.35750675201416016
0,55,all,500,NLM,CNR,6.9916315202705315
0,55,all,550,mean,C,0.36170023476135876
0,55,all,550,mean,CNR,5.4391338926793384
0,55,all,550,reconst,C,0.35429617762565613
0,55,all,550,reconst,CNR,5.063297931656638
0,55,all,550,superres,C,0.37678882479667664
0,55,all,550,superres,CNR,6.4656745211421285
0,55,all,550,NLM,C,0.35367119312286377
0,55,all,550,NLM,CNR,6.847306479853543
0,55,all,600,mean,C,0.36170023476135876
0,55,all,600,mean,CNR,5.4391338926793384
0,55,all,600,reconst,C,0.3624716103076935
0,55,all,600,reconst,CNR,5.363051698397144
0,55,all,600,superres,C,0.3752530813217163
0,55,all,600,superres,CNR,6.339291378789349
0,55,all,600,NLM,C,0.3509352207183838
0,55,all,600,NLM,CNR,6.750874982995892
0,55,all,650,mean,C,0.36170023476135876
0,55,all,650,mean,CNR,5.4391338926793384
0,55,all,650,reconst,C,0.34614288806915283
0,55,all,650,reconst,CNR,4.66606404852782
0,55,all,650,superres,C,0.3724815249443054
0,55,all,650,superres,CNR,6.199355920594484
0,55,all,650,NLM,C,0.34682536125183105
0,55,all,650,NLM,CNR,6.574384531178916
0,55,all,700,mean,C,0.36170023476135876
0,55,all,700,mean,CNR,5.4391338926793384
0,55,all,700,reconst,C,0.34644123911857605
0,55,all,700,reconst,CNR,4.376451137426634
0,55,all,700,superres,C,0.3702162504196167
0,55,all,700,superres,CNR,6.003462308588125
0,55,all,700,NLM,C,0.3438951075077057
0,55,all,700,NLM,CNR,6.415608182008073
0,55,all,750,mean,C,0.36170023476135876
0,55,all,750,mean,CNR,5.4391338926793384
0,55,all,750,reconst,C,0.3618638813495636
0,55,all,750,reconst,CNR,5.369677830746831
0,55,all,750,superres,C,0.369539737701416
0,55,all,750,superres,CNR,5.952319541017552
0,55,all,750,NLM,C,0.34251925349235535
0,55,all,750,NLM,CNR,6.394188153995446
0,55,all,800,mean,C,0.36170023476135876
0,55,all,800,mean,CNR,5.4391338926793384
0,55,all,800,reconst,C,0.3583342730998993
0,55,all,800,reconst,CNR,5.074527101749352
0,55,all,800,superres,C,0.3687034249305725
0,55,all,800,superres,CNR,5.881339098949947
0,55,all,800,NLM,C,0.3411342203617096
